"ReturnCode","LL","tvV","tvCl","dVdWT","dCldWT","dVdAGE","dCldAGE","CEps","Ke","Tinf","AUC","Coef","Cmax","AUMCIV","AUMC","MRT","VSS","Ke_hl","omega(nV,nV)","omega(nCl,nV)","omega(nCl,nCl)"
1,-401.06,21.9306,6.68827,1.06336,1.4015,-0.117145,-0.19853,0.65014,0.304975,0.950001,16.5962,17.4697,4.39417,54.4183,62.3015,3.27896,21.9306,2.2728,0.131354,0.130221,0.142148
3,-322.711,19.7509,6.06147,0.702818,0.916058,0.0551626,0.0253608,0.467717,0.306895,0.9166,6.92901,7.55947,1.85357,22.5778,25.7534,3.25844,19.7509,2.25858,0.0107398,0.0173577,0.0280545
1,-287.869,18.8516,6.21005,0.731562,1.13429,-0.0186874,-0.166393,0.490291,0.329418,1,17.2301,17.2301,4.83576,52.3048,60.9199,3.03566,18.8516,2.10416,6.35036e-005,-0.00102835,0.0274983
1,-314.275,19.4265,5.55737,0.586191,0.490742,0.128426,0.271317,0.492837,0.286072,1.05,23.7522,22.6211,5.86928,83.029,95.4989,3.49563,19.4265,2.42298,0.00584662,0.0140604,0.0338596
1,-304.468,20.0626,6.48377,0.752837,1.08481,-0.0265043,-0.166801,0.522803,0.323177,0.950001,17.1197,18.0207,4.764,52.973,61.1049,3.09428,20.0626,2.14479,0.000427675,0.00301892,0.0300766
3,-349.644,20.1535,6.80523,1.08829,1.41973,-0.0434449,-0.0983768,0.548106,0.337671,0.933,10.874,11.6549,3.14967,32.203,37.2757,2.96147,20.1535,2.05273,0.0137823,0.0259927,0.0490216
1,-571.157,31.675,10.0855,1.4584,1.69635,-0.188629,-0.221183,0.894514,0.318406,1,5.05676,5.05676,1.37894,15.8815,18.4098,3.14064,31.675,2.17693,0.208497,0.177328,0.153705
1,-354.863,20.8764,6.98557,0.627992,0.94111,0.0441429,-0.0272712,0.501744,0.334616,1,10.4501,10.4501,2.97187,31.2302,36.4552,2.9885,20.8764,2.07147,0.000410376,-0.00130821,0.00437377
2,-356.991,18.6049,6.57982,0.714917,1.24441,-0.0116617,-0.157331,0.559873,0.353661,0.950001,16.8698,17.7576,5.06735,47.7004,55.7136,2.82757,18.6049,1.95992,0.0186513,0.0329989,0.0583983
1,-495.683,23.0559,7.43946,1.16421,1.33053,-0.128689,-0.167571,0.666319,0.322671,0.9666,7.93068,8.20472,2.19838,24.5782,28.4111,3.09913,23.0559,2.14816,0.11059,0.102124,0.102502
2,-529.521,32.8062,10.2752,2.52353,2.58191,-0.213837,-0.242103,0.902534,0.313208,1.03,9.53757,9.25977,2.55329,30.4512,35.3631,3.19277,32.8062,2.21306,0.142388,0.115125,0.093084
1,-532.49,25.737,8.0533,1.37554,1.52604,-0.136234,-0.143437,0.745192,0.312907,1,13.2865,13.2865,3.56984,42.4614,49.1047,3.19584,25.737,2.21519,0.191836,0.17196,0.158033
3,-513.505,27.3145,8.98285,1.53148,1.88815,-0.173812,-0.227926,0.774902,0.328868,0.933,8.23792,8.8295,2.33299,25.0494,28.8924,3.04074,27.3145,2.10768,0.182817,0.149081,0.12157
1,-513.006,29.0428,9.45452,1.60666,1.95821,-0.19845,-0.227015,0.928666,0.325537,0.950001,11.7404,12.3583,3.28744,36.0648,41.6415,3.07185,29.0428,2.12924,0.27347,0.224692,0.18462
1,-435.387,28.1951,9.27934,1.4899,1.80303,-0.176234,-0.206402,0.720265,0.329112,0.9166,4.52618,4.93801,1.28593,13.7527,15.827,3.03848,28.1951,2.10611,0.119196,0.116474,0.119583
